Product Number,Material,Form,Choice,Grade,Finish,Surface,Quantity,Weight (t),Length (mm),Width (mm),Height (mm),Thickness (mm),Outer Diameter (mm),Wall Thickness (mm),Web Thickness (mm),Flange Thickness (mm),Certificates,Location
52406213,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
12414750,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.82,12000,2800,,6.9,,,,,2.2,CZ
96992104,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.256,8283,2800,,6.9,,,,,2.2,CZ
34739958,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.533,9171,3000,,7.1,,,,,2.2,CZ
27616430,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
66943249,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.413,12000,3000,,5,,,,,2.2,CZ
22237111,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.413,12000,3000,,5,,,,,2.2,CZ
65800900,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N); Z-Quality (+Z25),,1,7.875,9600,1900,,55,,,,,2.2,CZ
59420513,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
82577331,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
59749043,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
10881729,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
23339526,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
20170928,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.079,11000,2500,,5,,,,,2.2,CZ
35985083,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
56808532,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
58775196,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
32417394,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.079,11000,2500,,5,,,,,2.2,CZ
57816898,Carbon Steel,Heavy Plates,2nd Choice,P355N,As Rolled (+AR),,1,0.961,5100,3000,,8,,,,,2.2,CZ
56181616,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.079,11000,2500,,5,,,,,2.2,CZ
51640460,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
96500764,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
44542880,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.079,11000,2500,,5,,,,,2.2,CZ
29650268,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
34949218,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.079,11000,2500,,5,,,,,2.2,CZ
78957562,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
39272185,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,0.589,6000,2500,,5,,,,,2.2,CZ
48234138,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
62871323,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
68487664,Carbon Steel,Heavy Plates,2nd Choice,P355N,As Rolled (+AR),,1,0.961,5100,3000,,8,,,,,2.2,CZ
74745944,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
24374536,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
22362488,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
96986780,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
46877807,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.079,11000,2500,,5,,,,,2.2,CZ
77309397,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.079,11000,2500,,5,,,,,2.2,CZ
67522116,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
64158213,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
23341694,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
52891191,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
98644620,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
59058973,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
79222341,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N); Z-Quality (+Z25),,1,1.519,2500,1720,,45,,,,,2.2,CZ
88288700,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N); Z-Quality (+Z25),,1,1.519,2500,1720,,45,,,,,2.2,CZ
71034099,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N); Z-Quality (+Z25),,1,1.519,2500,1720,,45,,,,,2.2,CZ
35488337,Carbon Steel,Heavy Plates,2nd Choice,S420NL,Normalized (+N),,1,1.706,10500,2070,,10,,,,,2.2,CZ
43820662,Carbon Steel,Heavy Plates,2nd Choice,S420NL,Normalized (+N),,1,1.771,10900,2070,,10,,,,,2.2,CZ
13384420,Carbon Steel,Heavy Plates,2nd Choice,S420NL,Normalized (+N),,1,1.706,10500,2070,,10,,,,,2.2,CZ
20722691,Carbon Steel,Heavy Plates,2nd Choice,S420NL,Normalized (+N),,1,1.771,10900,2070,,10,,,,,2.2,CZ
89945248,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,0.848,6000,1500,,12,,,,,2.2,CZ
85493215,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,0.848,6000,1500,,12,,,,,2.2,CZ
17300568,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
69454603,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,0.848,6000,1500,,12,,,,,2.2,CZ
15725936,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,0.848,6000,1500,,12,,,,,2.2,CZ
87768039,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.413,12000,3000,,5,,,,,2.2,CZ
97756685,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.413,12000,3000,,5,,,,,2.2,CZ
74167994,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,10.559,7000,3150,,61,,,,,2.2,CZ
65131337,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,12.639,4600,2500,,140,,,,,2.2,CZ
69559019,Carbon Steel,Heavy Plates,2nd Choice,SA516GR60MT,As Rolled (+AR),,1,4.22,4800,2000,,56,,,,,2.2,CZ
28977772,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,12.515,16000,2120,,47,,,,,2.2,CZ
68449245,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,13.197,13000,2120,,61,,,,,2.2,CZ
40699733,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,0.348,2620,2600,,6.2,,,,,2.2,CZ
35206054,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,0.348,2620,2600,,6.2,,,,,2.2,CZ
43612414,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
42881704,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
91302326,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
61751466,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,0.512,6000,2175,,5,,,,,2.2,CZ
69598663,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,0.512,6000,2175,,5,,,,,2.2,CZ
24234725,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,0.663,6862,2050,,6,,,,,2.2,CZ
28747267,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,0.663,6862,2050,,6,,,,,2.2,CZ
54146609,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,2.329,12200,3040,,8,,,,,2.2,CZ
47719387,Carbon Steel,Heavy Plates,2nd Choice,S355J2C,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
28784170,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
97015552,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
32653801,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
94290006,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
82046673,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
37355465,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
77187749,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
16555913,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
21237790,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
19258735,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
12835000,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
45581627,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
14151168,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
92947377,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
25820814,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
92689596,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
60174697,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
80744434,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
34020583,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
78189398,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
39091193,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
76430134,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.017,8000,2700,,6,,,,,2.2,CZ
42489783,Carbon Steel,Heavy Plates,2nd Choice,S355J2C,Normalized (+N),,1,0.589,6000,2500,,5,,,,,2.2,CZ
37517146,Carbon Steel,Heavy Plates,2nd Choice,S355J2C,Normalized (+N),,1,0.589,6000,2500,,5,,,,,2.2,CZ
94748839,Carbon Steel,Heavy Plates,2nd Choice,S355J2C,Normalized (+N),,1,0.589,6000,2500,,5,,,,,2.2,CZ
30046580,Carbon Steel,Heavy Plates,2nd Choice,S355J2C,Normalized (+N),,1,0.589,6000,2500,,5,,,,,2.2,CZ
13975562,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
74184160,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
65216400,Carbon Steel,Heavy Plates,2nd Choice,S355J2C,Normalized (+N),,1,0.589,6000,2500,,5,,,,,2.2,CZ
48339569,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,0.589,6000,2500,,5,,,,,2.2,CZ
89034848,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,0.589,6000,2500,,5,,,,,2.2,CZ
59210609,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,0.589,6000,2500,,5,,,,,2.2,CZ
58971853,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,0.589,6000,2500,,5,,,,,2.2,CZ
14763536,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,0.589,6000,2500,,5,,,,,2.2,CZ
74807788,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
16415416,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,0.512,6000,2175,,5,,,,,2.2,CZ
88335282,Carbon Steel,Heavy Plates,2nd Choice,S460NL,As Rolled (+AR),,1,0.432,5100,1350,,8,,,,,2.2,CZ
54939924,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
27203644,Carbon Steel,Heavy Plates,2nd Choice,S460NL,As Rolled (+AR),,1,0.432,5100,1350,,8,,,,,2.2,CZ
78288942,Carbon Steel,Heavy Plates,2nd Choice,S460NL,As Rolled (+AR),,1,0.361,4261,1350,,8,,,,,2.2,CZ
14065870,Carbon Steel,Heavy Plates,2nd Choice,S460NL,As Rolled (+AR),,1,0.432,5100,1350,,8,,,,,2.2,CZ
20792842,Carbon Steel,Heavy Plates,2nd Choice,S460NL,As Rolled (+AR),,1,0.432,5100,1350,,8,,,,,2.2,CZ
69848690,Carbon Steel,Heavy Plates,2nd Choice,S460NL,As Rolled (+AR),,1,0.361,4261,1350,,8,,,,,2.2,CZ
13034590,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,11.304,9000,2000,,80,,,,,2.2,CZ
93045683,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
73806052,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
82326525,Carbon Steel,Heavy Plates,2nd Choice,S355J2C,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
35970054,Carbon Steel,Heavy Plates,2nd Choice,S355J2C,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
71407282,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
29290845,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.079,10000,2750,,5,,,,,2.2,CZ
24324293,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.079,10000,2750,,5,,,,,2.2,CZ
17145543,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
53457753,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
82061695,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.197,12200,2500,,5,,,,,2.2,CZ
10327994,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.197,12200,2500,,5,,,,,2.2,CZ
47807621,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.197,12200,2500,,5,,,,,2.2,CZ
27488399,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.197,12200,2500,,5,,,,,2.2,CZ
89399838,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
57756078,Carbon Steel,Heavy Plates,2nd Choice,P265GH,Normalized (+N),,1,0.389,3300,2500,,6,,,,,2.2,CZ
19434881,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
20941877,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,0.754,6000,2000,,8,,,,,2.2,CZ
53291327,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
62932953,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
32591504,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
82486628,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
87855329,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
94746956,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
10167948,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
53809729,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
11165056,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
78642465,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
96346627,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
92964192,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
87418140,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
96211911,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
27481652,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
57708947,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
55799702,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
70276585,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
42995102,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
79923827,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
99941100,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
96218690,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
13495179,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
63522669,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
79753734,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
88110141,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
64266161,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
53657075,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
58353601,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
98581451,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
37906329,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
28756285,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
80808285,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,0.589,6000,2500,,5,,,,,2.2,CZ
52107490,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,0.589,6000,2500,,5,,,,,2.2,CZ
70755870,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,0.589,6000,2500,,5,,,,,2.2,CZ
62984828,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,0.589,6000,2500,,5,,,,,2.2,CZ
80087916,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
70754851,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.178,12000,2500,,5,,,,,2.2,CZ
37575796,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,0.707,12000,1500,,5,,,,,2.2,CZ
66014568,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,0.942,12000,2000,,5,,,,,2.2,CZ
15938895,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N); Z-Quality (+Z35),,1,9.878,4400,2200,,130,,,,,2.2,CZ
78524398,Carbon Steel,Heavy Plates,2nd Choice,P265GH,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
16797971,Carbon Steel,Heavy Plates,2nd Choice,P265GH,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
28388202,Carbon Steel,Heavy Plates,2nd Choice,P265GH,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
97806730,Carbon Steel,Heavy Plates,2nd Choice,P265GH,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
32315949,Carbon Steel,Heavy Plates,2nd Choice,P265GH,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
79121031,Carbon Steel,Heavy Plates,2nd Choice,P265GH,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
88280259,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
35149393,Carbon Steel,Heavy Plates,2nd Choice,P265GH,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
16939425,Carbon Steel,Heavy Plates,2nd Choice,P265GH,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
82236961,Carbon Steel,Heavy Plates,2nd Choice,P265GH,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
41550375,Carbon Steel,Heavy Plates,2nd Choice,P265GH,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
34431962,Carbon Steel,Heavy Plates,2nd Choice,P265GH,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
21778610,Carbon Steel,Heavy Plates,2nd Choice,P265GH,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
13817434,Carbon Steel,Heavy Plates,2nd Choice,P265GH,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
75542635,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
57344369,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
69901506,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
72671859,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
69807245,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.696,12000,3000,,6,,,,,2.2,CZ
25197890,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,9.793,11760,2080,,51,,,,,2.2,CZ
25232244,Carbon Steel,Heavy Plates,2nd Choice,P355N,As Rolled (+AR),,1,1.187,6300,3000,,8,,,,,2.2,CZ
68842140,Carbon Steel,Heavy Plates,2nd Choice,P355N,As Rolled (+AR),,1,1.187,6300,3000,,8,,,,,2.2,CZ
65326800,Carbon Steel,Heavy Plates,2nd Choice,S235JR,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
75673730,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
98331911,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
30004938,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
72653778,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
15412628,Carbon Steel,Heavy Plates,2nd Choice,S355J2,Normalized (+N),,1,1.13,8000,3000,,6,,,,,2.2,CZ
